2022-04-30 19:02:35,861 DEBUG    Calling [get_data] from function [main_cycle] with args: (<socket.socket fd=9, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 45180)>,); kwargs: {}
2022-04-30 19:02:35,861 DEBUG    [common.utils.get_data] successfully completed. Returned results: {'action': 'message', 'user': {'username': 'test4'}, 'time': 1651327355.693835, 'text': 'gfdgdf'}
2022-04-30 19:02:35,861 DEBUG    Received data from client 127.0.0.1:45180: {'action': 'message', 'user': {'username': 'test4'}, 'time': 1651327355.693835, 'text': 'gfdgdf'}
2022-04-30 19:02:35,862 DEBUG    msg attrs: sender_name='test4', sender_sock=<socket.socket fd=9, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 45180)>, target_sock=None, is_sender_authorised=True, False
2022-04-30 19:02:35,862 DEBUG    Calling [post_data] from function [main_cycle] with args: ({'action': 'message', 'time': 1651327355.862014, 'sender': 'test4', 'recipient': 'all', 'text': 'gfdgdf'}, <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 45176)>); kwargs: {}
2022-04-30 19:02:35,862 DEBUG    [common.utils.post_data] successfully completed. Returned results: None
2022-04-30 19:02:35,862 DEBUG    Calling [post_data] from function [main_cycle] with args: ({'action': 'message', 'time': 1651327355.862014, 'sender': 'test4', 'recipient': 'all', 'text': 'gfdgdf'}, <socket.socket fd=8, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 45178)>); kwargs: {}
2022-04-30 19:02:35,862 DEBUG    [common.utils.post_data] successfully completed. Returned results: None
2022-04-30 19:02:35,863 DEBUG    Calling [post_data] from function [main_cycle] with args: ({'action': 'message', 'time': 1651327355.862014, 'sender': 'test4', 'recipient': 'all', 'text': 'gfdgdf'}, <socket.socket fd=9, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 45180)>); kwargs: {}
2022-04-30 19:02:35,863 DEBUG    [common.utils.post_data] successfully completed. Returned results: None
2022-04-30 19:02:40,135 DEBUG    Calling [get_data] from function [main_cycle] with args: (<socket.socket fd=8, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 45178)>,); kwargs: {}
2022-04-30 19:02:40,136 DEBUG    [common.utils.get_data] successfully completed. Returned results: {'action': 'message', 'user': {'username': 'test3'}, 'time': 1651327360.1246817, 'text': 'dfgfdgfd'}
2022-04-30 19:02:40,136 DEBUG    Received data from client 127.0.0.1:45178: {'action': 'message', 'user': {'username': 'test3'}, 'time': 1651327360.1246817, 'text': 'dfgfdgfd'}
2022-04-30 19:02:40,136 DEBUG    msg attrs: sender_name='test3', sender_sock=<socket.socket fd=8, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 45178)>, target_sock=None, is_sender_authorised=True, False
2022-04-30 19:02:40,136 DEBUG    Calling [post_data] from function [main_cycle] with args: ({'action': 'message', 'time': 1651327360.1365337, 'sender': 'test3', 'recipient': 'all', 'text': 'dfgfdgfd'}, <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 45176)>); kwargs: {}
2022-04-30 19:02:40,137 DEBUG    [common.utils.post_data] successfully completed. Returned results: None
2022-04-30 19:02:40,137 DEBUG    Calling [post_data] from function [main_cycle] with args: ({'action': 'message', 'time': 1651327360.1365337, 'sender': 'test3', 'recipient': 'all', 'text': 'dfgfdgfd'}, <socket.socket fd=8, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 45178)>); kwargs: {}
2022-04-30 19:02:40,137 DEBUG    [common.utils.post_data] successfully completed. Returned results: None
2022-04-30 19:02:40,138 DEBUG    Calling [post_data] from function [main_cycle] with args: ({'action': 'message', 'time': 1651327360.1365337, 'sender': 'test3', 'recipient': 'all', 'text': 'dfgfdgfd'}, <socket.socket fd=9, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 45180)>); kwargs: {}
2022-04-30 19:02:40,138 DEBUG    [common.utils.post_data] successfully completed. Returned results: None
2022-04-30 19:03:09,012 DEBUG    Calling [get_data] from function [main_cycle] with args: (<socket.socket fd=8, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 45178)>,); kwargs: {}
2022-04-30 19:03:09,013 DEBUG    [common.utils.get_data] successfully completed. Returned results: {'action': 'message', 'user': {'username': 'test3'}, 'time': 1651327388.9711642, 'text': 'ffffff', 'recipient': 'test2'}
2022-04-30 19:03:09,013 DEBUG    Received data from client 127.0.0.1:45178: {'action': 'message', 'user': {'username': 'test3'}, 'time': 1651327388.9711642, 'text': 'ffffff', 'recipient': 'test2'}
2022-04-30 19:03:09,013 DEBUG    msg attrs: sender_name='test3', sender_sock=<socket.socket fd=8, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 45178)>, target_sock=<socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 45176)>, is_sender_authorised=True, False
2022-04-30 19:03:09,013 INFO     sender test3 send private msg to test2
2022-04-30 19:03:09,013 DEBUG    Calling [post_data] from function [main_cycle] with args: ({'action': 'message', 'time': 1651327389.0133944, 'sender': 'test3', 'recipient': 'test2', 'text': 'ffffff'}, <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 45176)>); kwargs: {}
2022-04-30 19:03:09,013 DEBUG    [common.utils.post_data] successfully completed. Returned results: None
2022-04-30 19:03:09,014 DEBUG    Calling [post_data] from function [main_cycle] with args: ({'action': 'message', 'time': 1651327389.0133944, 'sender': 'test3', 'recipient': 'test2', 'text': 'ffffff'}, <socket.socket fd=8, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 45178)>); kwargs: {}
2022-04-30 19:03:09,014 DEBUG    [common.utils.post_data] successfully completed. Returned results: None
2022-04-30 19:04:43,031 DEBUG    Server app started with args: []
2022-04-30 19:04:43,036 DEBUG    Initiating listen address: 0.0.0.0:7777.
2022-04-30 19:04:43,036 INFO     Socket successfully created. Listen address: 0.0.0.0:7777.
2022-04-30 19:04:43,613 DEBUG    Connection request from ('127.0.0.1', 45214) received
2022-04-30 19:04:43,865 DEBUG    Calling [get_data] from function [main_cycle] with args: (<socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 45214)>,); kwargs: {}
2022-04-30 19:04:43,866 DEBUG    [common.utils.get_data] successfully completed. Returned results: {'action': 'presence', 'user': {'username': 'test2'}, 'time': 1651327483.632679}
2022-04-30 19:04:43,868 DEBUG    Received data from client 127.0.0.1:45214: {'action': 'presence', 'user': {'username': 'test2'}, 'time': 1651327483.632679}
2022-04-30 19:04:43,870 INFO     Correct [presence] from [test2] received
2022-04-30 19:04:43,870 DEBUG    Calling [post_data] from function [main_cycle] with args: ({'response': 200, 'time': 1651327483.8703086, 'alert': 'OK'}, <socket.socket fd=6, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 45214)>); kwargs: {}
2022-04-30 19:04:43,870 DEBUG    [common.utils.post_data] successfully completed. Returned results: None
2022-04-30 19:04:44,199 DEBUG    Connection request from ('127.0.0.1', 45216) received
2022-04-30 19:04:44,457 DEBUG    Calling [get_data] from function [main_cycle] with args: (<socket.socket fd=8, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 45216)>,); kwargs: {}
2022-04-30 19:04:44,458 DEBUG    [common.utils.get_data] successfully completed. Returned results: {'action': 'presence', 'user': {'username': 'test3'}, 'time': 1651327484.2059891}
2022-04-30 19:04:44,458 DEBUG    Received data from client 127.0.0.1:45216: {'action': 'presence', 'user': {'username': 'test3'}, 'time': 1651327484.2059891}
2022-04-30 19:04:44,458 INFO     Correct [presence] from [test3] received
2022-04-30 19:04:44,458 DEBUG    Calling [post_data] from function [main_cycle] with args: ({'response': 200, 'time': 1651327484.4585233, 'alert': 'OK'}, <socket.socket fd=8, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 45216)>); kwargs: {}
2022-04-30 19:04:44,458 DEBUG    [common.utils.post_data] successfully completed. Returned results: None
2022-04-30 19:04:44,659 DEBUG    Connection request from ('127.0.0.1', 45218) received
2022-04-30 19:04:44,911 DEBUG    Calling [get_data] from function [main_cycle] with args: (<socket.socket fd=9, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 45218)>,); kwargs: {}
2022-04-30 19:04:44,915 DEBUG    [common.utils.get_data] successfully completed. Returned results: {'action': 'presence', 'user': {'username': 'test4'}, 'time': 1651327484.6600943}
2022-04-30 19:04:44,915 DEBUG    Received data from client 127.0.0.1:45218: {'action': 'presence', 'user': {'username': 'test4'}, 'time': 1651327484.6600943}
2022-04-30 19:04:44,915 INFO     Correct [presence] from [test4] received
2022-04-30 19:04:44,915 DEBUG    Calling [post_data] from function [main_cycle] with args: ({'response': 200, 'time': 1651327484.915559, 'alert': 'OK'}, <socket.socket fd=9, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 45218)>); kwargs: {}
2022-04-30 19:04:44,915 DEBUG    [common.utils.post_data] successfully completed. Returned results: None
